0.152,4,2.4
0.232,10.8,3.2
0.244,10.4,3.2
0.208,8.4,3.2
0.228,10.8,3.2
0.296,15.2,4
0.176,5.2,2.8
0.204,7.6,2.8
0.196,6,2.8
0.18,5.2,2.8
0.24,10,3.2
0.216,8,2.8
0.144,3.6,2
0.148,3.6,2
0.248,10,3.6
0.224,8,3.2
0.192,7.2,2.4
0.236,10,3.2
0.18,5.2,2.8
0.244,9.6,4
0.188,6,2.8
0.16,4.4,2.4
0.268,11.2,4
0.172,4.8,2.8
0.196,6,2.8
0.176,5.2,2.4
0.196,6,2.8
0.188,6,2.8
0.236,9.2,3.2
0.264,11.6,3.6
0.144,3.6,2
0.184,5.6,2.4
0.248,10.4,4.4
0.196,6.8,3.2
0.16,4.4,2.4
0.24,9.6,4
0.224,8.4,3.6
0.144,4.8,2.4
0.268,14.8,3.6
0.256,10.4,4
0.248,10,4
0.272,12.4,3.6
0.232,8.8,3.2
0.156,4.4,2
0.356,21.2,4.8
0.228,8.4,3.6
0.256,12.8,4
0.196,6.8,3.2
0.3,14.4,4.8
0.12,2.4,1.6
0.184,5.6,2.8
0.156,4.4,2
0.196,7.6,2.8
0.244,10,3.6
0.224,8.4,3.6
0.148,4,2
0.244,9.6,4
0.256,12.4,4.4
0.348,19.6,5.6
0.2,6.4,3.2
0.108,2,1.6
0.208,7.2,3.2
0.24,9.2,3.6
0.18,6,2.4
0.176,5.2,2.4
0.22,8,3.6
0.196,6,2.8
0.288,14,4
0.292,14,4
0.28,12.4,4.4
0.172,4.8,2.4
0.176,5.6,2.4
0.24,9.2,3.6
0.284,12.8,4.4
0.24,9.6,3.6
0.252,10.8,3.6
0.236,9.2,4
0.216,8,3.2
0.228,8.4,3.2
0.208,6.8,3.2
0.292,13.6,4.4
0.232,8.8,3.2
0.344,19.6,5.2
0.268,12.4,3.6
0.264,12,3.6
0.308,14.8,4.8
0.2,6.8,2.8
0.124,2.8,2
0.24,9.2,3.6
0.232,8.8,3.2
0.2,7.2,3.2
0.18,5.2,2.8
0.152,4,2
0.184,5.6,2.8
0.188,5.6,2.8
0.22,8.8,3.2
0.196,6.4,2.8
0.216,7.6,3.2
0.192,6.4,2.8
0.212,7.6,3.6
0.188,6,2.8
0.228,9.2,3.2
0.336,18,5.6
0.164,4.4,2.4
0.244,10.8,4
0.256,10.4,3.6
0.204,6.8,2.8
0.1,2,1.2
0.32,16.4,4.4
0.152,4.8,2
0.192,6,2.8
0.22,8,3.2
0.24,10,3.2
0.232,8.4,3.6
0.176,5.2,2.8
0.256,10.8,3.6
0.148,3.6,2.4
0.244,9.2,3.6
0.248,10.4,3.6
0.196,7.2,2.8
0.212,7.6,3.6
0.248,9.6,3.6
0.332,17.2,5.2
0.148,4,2
0.348,19.2,5.6
0.284,12.4,4.4
0.284,13.6,4
0.216,8.8,2.8
0.24,9.2,3.6
0.152,4,2.4
0.264,11.6,4.4
0.176,5.6,3.2
0.316,16.4,4.4
0.244,13.6,3.6
0.14,3.2,2
0.152,4.8,2
0.164,4.4,2.4
0.276,12.4,4
0.208,7.2,3.2
0.188,6.4,2.4
0.312,15.2,4.8
0.352,20.4,5.2
0.24,10.4,3.2
0.144,3.6,2
0.2,7.2,3.2
0.292,14.8,4
0.224,8.4,3.6
0.196,7.6,2.8
0.18,5.2,2.8
0.22,7.6,3.6
0.176,5.2,2.4
0.328,16.8,5.2
0.28,15.2,4
0.164,4.4,2.4
0.172,4.8,2.8
0.3,14.8,5.2
0.232,9.6,3.6
0.256,10.4,3.6
0.22,8,3.6
0.28,13.2,4
0.228,8.4,3.2
0.272,12,4
0.252,10.8,3.6
0.196,6,2.8
0.164,4.4,2.8
0.148,5.2,2.4
0.244,9.6,3.6
0.196,6,2.8
0.156,4.4,2
0.364,21.2,5.6
0.288,13.6,4.4
0.264,11.6,4
0.232,8.4,3.6
0.204,7.2,3.6
0.24,10,4
0.16,5.2,2
0.216,7.2,3.2
0.212,7.2,3.2
0.252,10.8,3.6
0.188,6,2.8
0.184,5.6,2.4
0.164,4.4,2.4
0.22,8,3.2
0.256,12.8,4.4
0.3,15.2,4.4
0.232,9.6,3.2
0.276,12.4,4
0.312,15.6,4.8
0.292,15.2,4.8
0.192,6,2.8
0.284,15.6,4.4
0.28,12.8,4
0.212,7.6,3.2
0.184,5.6,2.8
0.196,6.8,3.2
0.268,11.2,4
0.264,10.8,4
0.192,6.4,2.8
0.188,6.4,2.8
0.276,12.4,4
0.26,10.8,4.4
0.168,4.8,2.4
0.248,10,4
0.236,9.2,3.2
0.256,10.4,3.6
0.224,8.8,3.6
0.296,16,4
0.168,4.8,2.4
0.2,6.4,3.2
0.208,6.8,3.2
0.2,6.4,2.8
0.208,7.2,3.2
0.204,6.8,2.8
0.24,9.6,3.6
0.236,10,3.2
0.232,8.4,3.6
0.164,5.2,2.4
0.264,10.8,4
0.28,12.8,4
0.156,6.4,2.8
0.252,10,3.6
0.272,12,4
0.312,15.2,4.8
0.22,8,3.6
0.236,8.8,3.6
0.244,9.2,3.6
0.148,3.6,2
0.176,5.6,2.4
0.272,12,4
0.268,12,3.6
0.156,4.4,2
0.16,4.8,2
0.248,9.6,3.6
0.256,10.8,3.6
0.276,12.4,4
0.236,10,3.6
0.26,11.2,3.6
0.224,8.4,3.2
0.248,10,3.6
0.228,9.6,3.6
0.272,11.6,4
0.236,8.8,3.6
0.26,10.8,4.4
0.14,3.2,2
0.312,15.6,4.8
0.236,8.8,3.6
0.2,6.4,2.8
0.212,7.2,3.2
0.328,18.4,4.8
0.268,15.6,4.4
0.252,10.8,4.4
0.176,5.2,2.4
0.2,8,2.8
0.212,7.6,3.2
0.336,19.6,5.2
0.288,14.4,4.4
0.308,15.6,4.4
0.2,6.4,3.2
0.26,10.8,3.6
0.192,6.4,2.8
0.2,6.8,2.8
0.252,10.8,4
0.296,14.8,4.4
0.276,12.4,4
0.184,5.6,2.8
0.236,9.6,3.2
0.28,15.2,4
0.216,7.2,3.2
0.2,6.4,3.2
0.248,12.4,3.6
0.296,13.6,4.4
0.26,10.8,4
0.216,7.2,3.2
0.272,13.2,3.6
0.228,8.4,3.2
0.276,15.2,4
0.22,8.8,3.2
0.164,4.4,2.4
0.216,7.6,3.2
0.208,6.8,3.2
0.232,9.2,3.6
0.248,10,4
0.208,7.2,3.2
0.268,11.6,4
0.18,5.2,2.8
0.216,7.6,3.2
0.232,8.4,3.6
0.228,8.4,3.6
0.252,10,3.6
0.208,7.2,2.8
0.268,11.2,4
0.332,17.2,5.2
0.144,3.6,2
0.28,12.8,4
0.256,11.2,3.6
0.208,10,2.8
0.304,14.4,4.8
0.14,3.2,2
0.236,8.8,3.6
0.2,6.4,2.8
0.188,6,2.8
0.276,12,4.4
0.256,10.4,3.6
0.26,10.8,3.6
0.36,20,5.6
0.236,11.2,3.6
0.26,11.6,3.6
0.224,8,3.2
0.224,8,3.6
0.22,8.4,3.6
0.248,10,3.6
0.204,7.6,2.8
0.304,14.8,4.4
0.128,3.2,1.6
0.184,6,2.8
0.304,15.2,4.4
0.324,17.2,4.8
0.14,3.2,2
0.136,4.8,1.6
0.284,14,4
0.216,7.6,3.2
0.184,5.6,2.8
0.288,12.8,4.4
0.176,8.8,2.4
0.252,10.8,3.6
0.252,11.2,3.2
0.308,16.4,4.8
0.264,11.2,3.6
0.248,11.2,4
0.22,8.4,2.8
0.316,18,4.8
0.108,2,1.6
0.272,12.8,3.6
0.28,12.8,4.8
0.216,7.6,3.2
0.16,4.8,2
0.284,13.6,4.4
0.224,8,3.2
0.172,4.8,2.8
0.3,14.4,4.4
0.232,10,3.6
0.312,16.4,4.4
0.256,10.4,4
0.204,7.6,3.2
0.276,12.4,4
0.192,6.4,2.8
0.184,5.6,2.8
0.164,5.6,2
0.116,2.8,1.6
0.304,14.4,4.8
0.368,20.8,5.6
0.3,16.8,4.4
0.304,14.8,4.4
0.296,14.4,4.8
0.224,8,3.2
0.224,8,3.2
0.188,6,3.2
0.14,3.2,2
0.232,8.4,3.6
0.344,20.4,5.2
0.204,6.8,2.8
0.092,1.6,1.2
0.236,9.2,3.2
0.172,4.8,2.4
0.208,6.8,3.2
0.276,12.4,4.4
0.196,6.8,3.2
0.184,5.6,2.8
0.172,4.8,2.8
0.32,18,4.4
0.228,8.4,3.6
0.116,2.4,2
0.168,5.6,2.4
0.228,9.2,3.2
0.264,11.6,3.6
0.212,9.2,3.6
0.22,8,3.6
0.188,6,2.8
0.376,22.8,5.6
0.176,5.6,2.4
0.264,10.8,4
0.248,10,4
0.256,10.4,3.6
0.264,10.8,4
0.356,20,5.6
0.196,6,2.8
0.352,20.8,4.8
0.304,14.4,4.4
0.244,10,3.6
0.288,13.2,4
0.22,8.4,3.2
0.16,4,2.4
0.12,2.4,1.6
0.196,6.4,2.8
0.204,6.8,2.8
0.296,13.6,4.4
0.268,11.6,4
0.164,5.2,2
0.18,6,2.4
0.18,5.2,2.8
0.216,7.6,3.2
0.168,5.6,2.4
0.24,11.2,3.2
0.168,5.6,2.4
0.244,9.6,4
0.228,9.2,3.2
0.2,6.4,3.2
0.152,4,2
0.244,9.2,3.6
0.248,10.4,3.2
0.24,9.6,3.2
0.224,8.8,4
0.268,11.6,4
0.32,17.2,4.8
0.108,2,1.6
0.264,11.6,4.4
0.196,6,2.8
0.324,18.4,5.2
0.332,18,4.8
0.184,6.4,2.4
0.268,11.2,4
0.24,9.6,3.6
0.18,5.2,2.8
0.272,11.6,4.4
0.324,18.8,4.4
0.248,9.6,3.6
0.196,7.6,2.8
0.264,12.4,4
0.228,9.2,3.2
0.24,9.2,3.6
0.184,5.6,2.8
0.296,14.4,4.8
0.264,12,4
0.188,6,2.8
0.256,11.2,3.6
0.224,8.4,3.2
0.312,16.8,4.8
0.288,15.2,4
0.14,4,2.4
0.248,10.4,3.6
0.164,4.4,2.4
0.224,8.8,3.6
0.172,4.8,2.4
0.216,7.2,3.2
0.2,6.8,2.8
0.144,3.6,2
0.236,10,3.2
0.272,12,4
0.3,14.8,4.4
0.252,10.8,4
0.244,9.6,3.6
0.176,6,2.8
0.372,24.4,6
0.28,12.4,4.4
0.148,3.6,2
0.208,8.4,3.2
0.188,6.4,2.4
0.248,10,4
0.212,7.6,3.2
0.212,7.6,3.2
0.256,10.4,4
0.164,5.2,2.4
0.236,8.8,3.6
0.184,5.6,2.8
0.24,9.2,4
0.16,4,2.4
0.16,4,2.4
0.256,10.8,3.6
0.288,13.2,4
0.316,16.4,4.4
0.224,8.4,3.2
0.144,3.6,2
0.14,3.2,2
0.276,12.4,4
0.144,3.6,2
0.188,6,2.8
0.26,11.2,3.6
0.18,6,2.4
0.32,16.8,4.4
0.228,9.2,3.2
0.252,10.8,4
0.204,6.8,3.2
0.236,8.8,3.6
0.196,7.2,2.8
0.32,18,4.4
0.18,5.2,2.8
0.26,11.2,4
0.2,10,2.4
0.196,7.2,2.8
0.188,6,3.2
0.28,12.8,4
0.12,2.4,1.6
0.32,16.4,5.2
0.284,12.8,4
0.296,16,4.8
0.208,7.2,3.2
0.28,15.2,4
0.208,6.8,3.2
0.236,8.8,3.6
0.18,5.2,2.8
0.204,6.8,3.2
0.236,9.2,3.6
0.208,6.8,3.2
0.188,6.4,2.4
0.172,4.8,2.4
0.132,2.8,2
0.092,1.6,1.2
0.244,9.2,3.6
0.184,6.4,2.4
0.2,6.4,3.2
0.184,5.6,2.8
0.272,11.6,4
0.244,9.6,3.6
0.22,8,3.2
0.224,8.4,3.2
0.252,10,3.6
0.3,14.4,4.8
0.344,18.8,5.2
0.296,14.4,4
0.26,14,4
0.248,10,3.6
0.14,4,2.4
0.22,8.4,2.8
0.192,6.4,2.8
0.268,11.6,4.4
0.34,18.4,5.6
0.208,7.2,3.2
0.148,3.6,2.4
0.18,6,2.4
0.172,4.8,2.4
0.236,9.2,3.2
0.14,3.2,2
0.32,17.2,4.8
0.208,7.2,2.8
0.14,3.2,2
0.192,6.4,2.8
0.148,4,2
0.256,11.2,3.6
0.212,7.2,3.2
0.292,13.6,4.4
0.256,10.8,3.6
0.128,3.2,2
0.204,9.6,2.8
0.28,12.4,4.4
0.252,10,3.6
0.224,8,3.6
0.208,7.2,3.6
0.216,10.4,3.2
0.264,11.6,4
0.24,9.6,3.2
0.16,4.4,2.4
0.184,5.6,2.4
0.308,17.2,4.8
0.228,8.4,3.2
0.22,7.6,3.2
0.156,4.4,2
0.344,19.2,5.2
0.216,7.6,3.2
0.092,1.6,1.2
0.236,8.8,3.6
0.308,14.8,4.8
0.256,10.4,3.6
0.284,12.8,4.4
0.16,4.4,2.4
0.2,7.6,2.8
0.208,7.2,3.6
0.256,11.2,3.6
0.368,22,5.6
0.212,7.2,3.2
0.2,6.4,3.2
0.208,7.2,2.8
0.116,2.4,2
0.28,16,4
0.244,9.6,3.6
0.148,3.6,2.4
0.252,10,4
0.196,6,2.8
0.084,1.2,1.2
0.144,3.6,2
0.292,14,4.8
0.208,7.2,2.8
0.188,6.4,2.4
0.256,12.4,4.4
0.252,11.6,4
0.3,14.8,4.4
0.108,2,1.6
0.236,8.8,3.6
0.164,4.4,2.4
0.332,17.2,5.2
0.276,12,4.4
0.308,15.6,4.4
0.248,11.6,3.2
0.26,11.2,4
0.252,10,3.6
0.336,17.6,5.2
0.196,6,2.8
0.24,9.2,4
0.28,12,4
0.276,12.4,4
0.144,3.6,2
0.16,4,2.4
0.228,8.8,3.6
0.204,6.8,2.8
0.164,4.4,2.4
0.284,14,4
0.256,10.4,4
0.16,4.4,2.4
0.256,10.4,4
0.172,4.8,2.8
0.236,10,3.6
0.212,8.8,3.2
0.176,5.6,2.4
0.248,9.6,3.6
0.256,10.4,4
0.16,4,2.4
0.324,16.4,4.8
0.312,17.6,4.4
0.192,6.4,2.8
0.108,2,1.6
0.256,10.8,4
0.256,10.4,4
0.296,14.4,4.4
0.2,6.4,2.8
0.272,12,4
0.26,11.6,4
0.232,8.8,3.6
0.248,9.6,3.6
0.256,12,3.6
0.324,17.2,4.8
0.248,10.4,3.6
0.22,8.8,3.2
0.18,6,2.4
0.208,7.2,3.2
0.212,7.6,3.2
0.264,10.8,4
0.26,14,3.6
0.24,9.6,3.2
0.152,4,2.4
0.16,5.2,2
0.252,10.8,3.6
0.148,3.6,2.4
0.264,11.6,4
0.18,5.2,2.8
0.256,10.8,3.6
0.16,4.4,2.4
0.192,6.4,2.8
0.28,15.6,3.6
0.184,5.6,2.4
0.28,13.6,4
0.292,14,4.4
0.148,3.6,2.4
0.272,12,4
0.148,3.6,2
0.188,6,3.2
0.304,16,4
0.236,8.8,3.6
0.24,9.2,3.6
0.184,6.4,2.4
0.236,8.8,3.6
0.204,7.2,3.2
0.26,11.2,3.6
0.228,9.2,3.2
0.368,22,6
0.196,6,2.8
0.244,9.6,3.6
0.256,11.2,3.6
0.172,5.6,2.8
0.248,9.6,3.6
0.316,18,4.4
0.192,6.4,2.8
0.24,9.2,3.6
0.268,12.8,3.6
0.28,14.8,4
0.2,6.4,3.2
0.308,16,4.8
0.3,14.4,4.8
0.216,7.6,3.2
0.2,6.8,2.8
0.296,17.6,4.4
0.24,9.6,3.2
0.232,8.8,3.2
0.308,14.8,4.8
0.14,3.2,2
0.316,15.6,4.8
0.228,9.2,3.2
0.28,12,4
0.196,6.8,3.6
0.168,4.8,2.4
0.168,4.8,2.4
0.18,5.2,2.8
0.272,12,4
0.128,3.2,2
0.188,6.4,2.4
0.268,13.2,4
0.232,8.4,3.6
0.248,12,3.2
0.244,9.6,3.6
0.18,6,2.4
0.208,7.2,3.2
0.196,6,2.8
0.176,5.2,2.4
0.172,4.8,2.4
0.196,7.6,2.8
0.26,11.6,3.6
0.268,11.6,4
0.148,3.6,2.4
0.2,6.8,2.8
0.208,7.2,3.2
0.216,7.2,3.2
0.292,13.6,4.8
0.228,8.4,3.2
0.204,6.8,2.8
0.248,10,4
0.248,10,3.6
0.152,4.8,2
0.152,4,2
0.18,6,2.4
0.236,8.8,3.6
0.2,6.4,2.8
0.128,3.2,2
0.14,3.2,2
0.292,14,4
0.204,6.8,2.8
0.224,8.8,3.6
0.256,11.2,4
0.232,8.4,3.6
0.176,5.2,2.8
0.228,8.4,3.6
0.196,6,2.8
0.12,2.4,1.6
0.248,10.4,3.6
0.208,7.2,2.8
0.208,6.8,3.2
0.3,14.8,4.4
0.172,4.8,2.4
0.204,6.8,2.8
0.148,4,2
0.288,13.6,4.4
0.24,9.6,3.2
0.144,3.6,2
0.176,5.2,2.4
0.252,10.8,4
0.212,10,3.2
0.14,3.2,2
0.184,5.6,2.8
0.208,7.2,3.2
0.256,10.4,3.6
0.232,10.8,3.2
0.196,6,2.8
0.188,5.6,2.8
0.18,5.2,2.8
0.22,10.8,3.6
0.18,5.2,2.8
0.16,4.4,2.4
0.208,8.4,3.2
0.188,6.4,2.8
0.272,12,4
0.24,9.2,4
0.192,7.2,2.4
0.24,11.2,3.2
0.272,14.8,4
0.276,12,4.4
0.168,5.6,2.4
0.28,14.8,4
0.232,10.8,3.2
0.284,12.8,4
0.228,9.2,3.2
0.236,8.8,3.6
0.208,6.8,3.2
0.244,10.8,4
0.3,15.6,4.8
0.244,10.4,3.6
0.268,12,4
0.152,4,2.4
0.24,10.4,3.6
0.192,6.4,3.2
0.244,9.6,3.6
0.184,5.6,2.4
0.224,9.6,3.2
0.16,4.4,2.4
0.252,10,3.6
0.276,12.4,4
0.296,14,4.4
0.256,11.2,4
0.176,5.6,3.2
0.172,4.8,2.4
0.168,4.8,2.4
0.208,7.2,3.2
0.184,6,2.8
0.32,16,4.8
0.18,6,2.4
0.2,6.8,2.8
0.192,6.4,3.2
0.248,10.4,3.6
0.2,6.4,3.2
0.204,6.8,2.8
0.224,8,3.2
0.244,9.6,3.6
0.296,14.4,4.8
0.268,11.6,4
0.2,7.2,3.2
0.256,10.4,3.6
0.252,10.4,3.6
0.188,6,2.8
0.304,15.6,5.2
0.288,14,4.4
0.176,5.6,2.4
0.164,4.4,2.4
0.304,15.6,4.8
0.16,4.4,2.4
0.132,2.8,2
0.244,9.6,4
0.22,8,3.6
0.236,8.8,3.6
0.316,15.6,4.8
0.172,5.6,2.8
0.28,12.8,4.4
0.16,4,2.4
0.196,6.8,2.8
0.188,6,2.8
0.288,16.8,4.4
0.228,9.2,3.2
0.268,12.8,3.6
0.256,10.8,3.6
0.304,15.6,4.8
0.192,6.4,3.2
0.24,9.2,3.6
0.184,5.6,2.4
0.332,18.4,4.4
0.204,6.8,2.8
0.16,4,2.4
0.3,15.2,4
0.244,9.6,3.6
0.256,10.4,3.6
0.196,7.6,2.4
0.224,8,3.2
0.184,5.6,2.4
0.152,4,2.4
0.232,9.6,3.6
0.284,12.8,4
0.184,5.6,2.8
0.164,4.4,2.4
0.216,7.2,3.2
0.232,8.4,3.6
0.172,4.8,2.8
0.228,10.8,2.8
0.232,10,3.2
0.18,5.2,2.8
0.26,10.8,4
0.208,7.2,3.2
0.184,5.6,2.8
0.216,7.6,3.2
0.292,13.2,4.4
0.22,8.8,3.2
0.304,17.2,4.4
0.268,11.2,4
0.296,16.4,4
0.22,8,3.2
0.22,8,3.6
0.128,3.2,1.6
0.344,20,5.2
0.152,4,2
0.244,13.6,3.6
0.276,12,4.4
0.184,7.2,3.2
0.168,4.8,2.4
0.188,5.6,2.8
0.296,14,4.4
0.232,10,3.2
0.376,22,5.6
0.236,8.8,3.6
0.164,4.4,2.4
0.108,2,1.6
0.18,6,2.4
0.256,11.2,3.6
0.288,15.6,4
0.192,6.4,2.8
0.18,5.2,2.8
0.22,8,3.6
0.224,8,3.6
0.256,10.4,3.6
0.2,6.4,3.2
0.244,10,3.6
0.172,4.8,2.4
0.244,10,3.6
0.316,15.6,4.8
0.18,5.2,2.8
0.204,7.6,3.2
0.28,12,4
0.152,4,2
0.184,5.6,2.4
0.116,2.8,1.6
0.268,11.6,4.4
0.204,6.8,2.8
0.196,6,2.8
0.164,4.4,2.4
0.168,4.8,2.4
0.128,3.2,1.6
0.18,5.2,2.8
0.264,14.4,3.6
0.276,12.4,4
0.292,14.4,4.4
0.188,6,2.8
0.084,1.2,1.2
0.26,10.8,3.6
0.328,16.8,4.8
0.172,5.6,2.8
0.244,9.6,3.6
0.356,20,5.2
0.184,5.6,2.8
0.188,6,3.2
0.212,8.4,3.2
0.268,12,3.6
0.2,6.8,2.8
0.216,7.2,3.2
0.336,19.2,4.8
0.188,6,2.8
0.264,10.8,4
0.292,14,4.4
0.208,7.2,2.8
0.152,4.8,2
0.232,8.8,3.2
0.364,20.8,5.2
0.304,14.4,4.4
0.32,18,4.4
0.092,1.6,1.2
0.224,8.4,3.2
0.212,7.6,2.8
0.176,5.6,2.4
0.308,17.6,4
0.144,3.6,2
0.244,9.6,3.6
0.18,5.2,2.8
0.244,9.6,3.6
0.164,5.2,2.4
0.208,7.2,3.2
0.328,16.8,5.2
0.252,10.8,3.6
0.184,5.6,2.4
0.244,9.6,3.6
0.256,10.4,4
0.148,4,2
0.264,12,4.4
0.272,12.8,4
0.16,4.4,2.4
0.204,6.8,2.8
0.152,4.8,2
0.228,8.4,3.2
0.22,8,3.2
0.2,6.8,2.8
0.308,15.2,4.4
0.12,2.4,1.6
0.276,12.4,4
0.26,12.4,4
0.144,3.6,2
0.244,9.6,3.6
0.256,10.4,4
0.16,4,2.4
0.172,4.8,2.4
0.228,8.8,3.6
0.18,5.2,2.8
0.276,12.4,4
0.216,8,3.6
0.248,10.4,3.2
0.308,17.2,4.4
0.28,12.4,4.4
0.24,9.2,3.6
0.176,5.2,2.4
0.164,4.4,2.4
0.216,8,3.6
0.332,19.6,4.8
0.296,14,4.4
0.096,1.6,1.6
0.18,5.2,2.8
0.24,9.2,3.6
0.22,9.2,3.2
0.176,5.6,2.4
0.312,15.2,4.8
0.244,9.6,3.6
0.268,11.2,4
0.172,4.8,2.4
0.28,12.8,4.4
0.2,6.4,3.2
0.236,8.8,3.6
0.232,8.4,3.6
0.16,4.4,2.4
0.236,8.8,3.6
0.236,9.2,3.6
0.304,14.8,4.4
0.252,10.8,3.6
0.12,2.4,1.6
0.172,4.8,2.4
0.308,14.8,4.4
0.208,6.8,3.2
0.248,10,3.6
0.268,11.2,4
0.284,12.8,4
0.196,7.6,2.4
0.184,5.6,2.4
0.228,8.4,3.2
